web-scraper-order,web-scraper-start-url,categories,categories-href,page,plants,plants-href,plant_name,plant_price,plant_des,plant_img-src,additional_img-src
"1701424211-68","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" Bird of Paradise, Yellow
$26.99","https://piante.ca/collections/small-plants/products/4-bird-of-paradise-yellow","4"" Bird of Paradise, Yellow","$26.99","Transform your home into a tropical paradise with the Bird of Paradise. Featuring exotic flowers in vibrant orange, yellow or white and lush green foliage, this eye-catching houseplant is the perfect way to add a touch of the tropics to your interior décor. Let these rare, bright, and long-lasting blooms bring beauty to any room of your home.","//piante.ca/cdn/shop/files/TransparentBackground_1_74455a63-7a6d-45ad-b318-b94294c03b3d_360x.png?v=1689970712 360w, //piante.ca/cdn/shop/files/TransparentBackground_1_74455a63-7a6d-45ad-b318-b94294c03b3d_540x.png?v=1689970712 540w, //piante.ca/cdn/shop/files/TransparentBackground_1_74455a63-7a6d-45ad-b318-b94294c03b3d_720x.png?v=1689970712 720w, //piante.ca/cdn/shop/files/TransparentBackground_1_74455a63-7a6d-45ad-b318-b94294c03b3d_900x.png?v=1689970712 900w, //piante.ca/cdn/shop/files/TransparentBackground_1_74455a63-7a6d-45ad-b318-b94294c03b3d_1080x.png?v=1689970712 1080w","//piante.ca/cdn/shop/files/TransparentBackground_2_30f6d73d-84b5-4ab4-902f-a4187f9c54c7_360x.png?v=1689970714 360w, //piante.ca/cdn/shop/files/TransparentBackground_2_30f6d73d-84b5-4ab4-902f-a4187f9c54c7_540x.png?v=1689970714 540w, //piante.ca/cdn/shop/files/TransparentBackground_2_30f6d73d-84b5-4ab4-902f-a4187f9c54c7_720x.png?v=1689970714 720w, //piante.ca/cdn/shop/files/TransparentBackground_2_30f6d73d-84b5-4ab4-902f-a4187f9c54c7_900x.png?v=1689970714 900w, //piante.ca/cdn/shop/files/TransparentBackground_2_30f6d73d-84b5-4ab4-902f-a4187f9c54c7_1080x.png?v=1689970714 1080w"
"1701424213-69","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" HB String of Hearts
$30.99","https://piante.ca/collections/small-plants/products/4-hb-string-of-hearts","4"" HB String of Hearts","$30.99","It is easy to see how String of Hearts get their name after you see their long trailing vines covered in 
beautifully veriegated heart shaped leaves. Keep these plants in bright indirect light, else you might see 
large empy gaps between leaves. Put this succulent like plant in a hanging basket and watch as it 
cascades over the sides.","//piante.ca/cdn/shop/products/4HBStringofHearts_360x.png?v=1673626472 360w, //piante.ca/cdn/shop/products/4HBStringofHearts_540x.png?v=1673626472 540w, //piante.ca/cdn/shop/products/4HBStringofHearts_720x.png?v=1673626472 720w, //piante.ca/cdn/shop/products/4HBStringofHearts_900x.png?v=1673626472 900w, //piante.ca/cdn/shop/products/4HBStringofHearts_1080x.png?v=1673626472 1080w",""
"1701424216-70","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" Monstera Thai Constellation
$109.99","https://piante.ca/collections/small-plants/products/4-monstera-thai-constellation","4"" Monstera Thai Constellation","$109.99","An iconic must have addition to any plant lover's collection, Monstera Deliciosa is as easy to care for as it is beautiful. With deep green, heart- shaped leaves that can easily grow to massive widths, this plant is well known for the vertical splits that run from the leaf's edge to its core. Monstera have a tendency to grow out and down, but place a moss-covered poll in the soil and watch in awe as this plant clings to it with arial roots.","//piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_2_360x.png?v=1695128230 360w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_2_540x.png?v=1695128230 540w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_2_720x.png?v=1695128230 720w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_2_900x.png?v=1695128230 900w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_2_1080x.png?v=1695128230 1080w","//piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_1_360x.png?v=1695128232 360w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_1_540x.png?v=1695128232 540w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_1_720x.png?v=1695128232 720w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_1_900x.png?v=1695128232 900w, //piante.ca/cdn/shop/files/4_MonsteraThaiConstellation_1_1080x.png?v=1695128232 1080w"
"1701424218-71","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" Alocasia Dragon Scale
$28.99","https://piante.ca/collections/small-plants/products/4-alocasia-dragon-scale","4"" Alocasia Dragon Scale","$28.99","Alocasia is a common houseplant recognized for its large, broad, and arrow-shaped leaves. This perennial beauty comes in lots of varieties with different sizes and leaf features. You will find them in varying hues of green, with some types featuring splotches of purple, copper, or black. Each leaf flaunts striking white veins, making this intriguing plant even more eye-catching and décor-worthy.","//piante.ca/cdn/shop/files/TransparentBackground_3_1f27b586-35f4-483a-a684-341668a32e5e_360x.png?v=1688760139 360w, //piante.ca/cdn/shop/files/TransparentBackground_3_1f27b586-35f4-483a-a684-341668a32e5e_540x.png?v=1688760139 540w, //piante.ca/cdn/shop/files/TransparentBackground_3_1f27b586-35f4-483a-a684-341668a32e5e_720x.png?v=1688760139 720w, //piante.ca/cdn/shop/files/TransparentBackground_3_1f27b586-35f4-483a-a684-341668a32e5e_900x.png?v=1688760139 900w, //piante.ca/cdn/shop/files/TransparentBackground_3_1f27b586-35f4-483a-a684-341668a32e5e_1080x.png?v=1688760139 1080w","//piante.ca/cdn/shop/files/TransparentBackground_2_4d5159aa-6d2a-4e8d-b658-fc3c1b502e71_360x.png?v=1688760140 360w, //piante.ca/cdn/shop/files/TransparentBackground_2_4d5159aa-6d2a-4e8d-b658-fc3c1b502e71_540x.png?v=1688760140 540w, //piante.ca/cdn/shop/files/TransparentBackground_2_4d5159aa-6d2a-4e8d-b658-fc3c1b502e71_720x.png?v=1688760140 720w, //piante.ca/cdn/shop/files/TransparentBackground_2_4d5159aa-6d2a-4e8d-b658-fc3c1b502e71_900x.png?v=1688760140 900w, //piante.ca/cdn/shop/files/TransparentBackground_2_4d5159aa-6d2a-4e8d-b658-fc3c1b502e71_1080x.png?v=1688760140 1080w"
"1701424220-72","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","3.25"" Urbinia Echeveria
$25.99","https://piante.ca/collections/small-plants/products/325-urbinia-echeveria","3.25"" Urbinia Echeveria","$25.99","These famed ornamental plants come in many varieties with different colours, texture, and sizes. Still, they all have one thing in common – a beautifully arranged symmetrical rosette leaves. Take a close look at their leaves, and you’ll see that each of them may be covered with a translucent powdery coating. But wait until they come into bloom, and their bell-shaped flowers will surely make a statement.","//piante.ca/cdn/shop/products/3-25-urbinia-echeveria-piante-plants_360x.png?v=1641265183 360w, //piante.ca/cdn/shop/products/3-25-urbinia-echeveria-piante-plants_540x.png?v=1641265183 540w, //piante.ca/cdn/shop/products/3-25-urbinia-echeveria-piante-plants_720x.png?v=1641265183 720w, //piante.ca/cdn/shop/products/3-25-urbinia-echeveria-piante-plants_900x.png?v=1641265183 900w, //piante.ca/cdn/shop/products/3-25-urbinia-echeveria-piante-plants_1080x.png?v=1641265183 1080w",""
"1701424222-73","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" Ficus Triangularis Variegated
$25.99","https://piante.ca/collections/small-plants/products/4-variegated-triangularis-ficus","4"" Ficus Triangularis Variegated","$25.99","The Variegated Ficus Triangularis catches the eye with its unique, triangle-shaped leaves with dapple white and pale green colours. Able to reach up to 6ft in height, this slow-growing plant is the perfect fit for a desk, before being moved to a grand floor plant.","//piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_2_360x.png?v=1672329941 360w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_2_540x.png?v=1672329941 540w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_2_720x.png?v=1672329941 720w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_2_900x.png?v=1672329941 900w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_2_1080x.png?v=1672329941 1080w","//piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_360x.png?v=1672329943 360w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_540x.png?v=1672329943 540w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_720x.png?v=1672329943 720w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_900x.png?v=1672329943 900w, //piante.ca/cdn/shop/products/4FicusTrangulrisVariegated_1080x.png?v=1672329943 1080w"
"1701424225-74","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" Philodendron White Princess
$26.99","https://piante.ca/collections/small-plants/products/philodendron-white-princess","4"" Philodendron White Princess","$26.99","White Princess Philodendron is one of the most beautiful philodendrons that you can add to your indoor garden. Its glossy green leaves are generously patterned with white variegation. You may even get a splash of pink from time to time.","//piante.ca/cdn/shop/products/TransparentBackground_57144f83-dc5a-4e01-ba29-656b7e836927_360x.png?v=1678463467 360w, //piante.ca/cdn/shop/products/TransparentBackground_57144f83-dc5a-4e01-ba29-656b7e836927_540x.png?v=1678463467 540w, //piante.ca/cdn/shop/products/TransparentBackground_57144f83-dc5a-4e01-ba29-656b7e836927_720x.png?v=1678463467 720w, //piante.ca/cdn/shop/products/TransparentBackground_57144f83-dc5a-4e01-ba29-656b7e836927_900x.png?v=1678463467 900w, //piante.ca/cdn/shop/products/TransparentBackground_57144f83-dc5a-4e01-ba29-656b7e836927_1080x.png?v=1678463467 1080w",""
"1701424227-75","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","3.25"" Zebra Haworthia
$25.99","https://piante.ca/collections/small-plants/products/325-zebra-haworthia","3.25"" Zebra Haworthia","$25.99","Haworthias are small succulents known best for their exotic façade and striking leaves. They make great indoor plants for window sills, desks, counters, and much more. Lots of Haworthia types are on the market, and you’d see them in different forms and sizes. Some leaves can be long and tapered, or soft, opaque, and fleshy, depending on the variety. Many varieties have hairs, stripes, ridges, or bumps on the leaves that add to their uniqueness.","//piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-1_360x.png?v=1641265190 360w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-1_540x.png?v=1641265190 540w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-1_720x.png?v=1641265190 720w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-1_900x.png?v=1641265190 900w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-1_1080x.png?v=1641265190 1080w","//piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-2_360x.png?v=1641265203 360w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-2_540x.png?v=1641265203 540w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-2_720x.png?v=1641265203 720w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-2_900x.png?v=1641265203 900w, //piante.ca/cdn/shop/products/3-25-zebra-haworthia-piante-plants-2_1080x.png?v=1641265203 1080w"
"1701424229-76","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" Bird of Paradise, Orange
$26.99","https://piante.ca/collections/small-plants/products/4-bird-of-paradise-orange","4"" Bird of Paradise, Orange","$26.99","Transform your home into a tropical paradise with the Bird of Paradise. Featuring exotic flowers in vibrant orange, yellow or white and lush green foliage, this eye-catching houseplant is the perfect way to add a touch of the tropics to your interior décor. Let these rare, bright, and long-lasting blooms bring beauty to any room of your home.","//piante.ca/cdn/shop/files/TransparentBackground22_360x.png?v=1689970665 360w, //piante.ca/cdn/shop/files/TransparentBackground22_540x.png?v=1689970665 540w, //piante.ca/cdn/shop/files/TransparentBackground22_720x.png?v=1689970665 720w, //piante.ca/cdn/shop/files/TransparentBackground22_900x.png?v=1689970665 900w, //piante.ca/cdn/shop/files/TransparentBackground22_1080x.png?v=1689970665 1080w","//piante.ca/cdn/shop/files/TransparentBackground2_360x.png?v=1689970667 360w, //piante.ca/cdn/shop/files/TransparentBackground2_540x.png?v=1689970667 540w, //piante.ca/cdn/shop/files/TransparentBackground2_720x.png?v=1689970667 720w, //piante.ca/cdn/shop/files/TransparentBackground2_900x.png?v=1689970667 900w, //piante.ca/cdn/shop/files/TransparentBackground2_1080x.png?v=1689970667 1080w"
"1701424232-77","https://piante.ca/","Small Plants","https://piante.ca/collections/small-plants","","4"" HB Carnivorous Garden
$42.99","https://piante.ca/collections/small-plants/products/4-hb-carnivorous","4"" HB Carnivorous Garden","$42.99","The 4"" HB Carnivorous Garden pairs the Venus Flytrap, Pitcher Plant, and Sarracenia in a deadly combination for your home. Suspend this savage hanging basket amongst the rest of your plant collection for eye-catching appeal. Perfect for the carnivorous plant enthusiast.","//piante.ca/cdn/shop/files/TransparentBackground_d8c4244c-3ba7-4eb9-b67d-b73a447cb94a_360x.png?v=1691782246 360w, //piante.ca/cdn/shop/files/TransparentBackground_d8c4244c-3ba7-4eb9-b67d-b73a447cb94a_540x.png?v=1691782246 540w, //piante.ca/cdn/shop/files/TransparentBackground_d8c4244c-3ba7-4eb9-b67d-b73a447cb94a_720x.png?v=1691782246 720w, //piante.ca/cdn/shop/files/TransparentBackground_d8c4244c-3ba7-4eb9-b67d-b73a447cb94a_900x.png?v=1691782246 900w, //piante.ca/cdn/shop/files/TransparentBackground_d8c4244c-3ba7-4eb9-b67d-b73a447cb94a_1080x.png?v=1691782246 1080w",""
